filename,fold,target,category,esc10,src_file,take
1-100032-A-0.wav,1,0,dog,True,100032,A
1-100038-A-14.wav,1,14,chirping_birds,False,100038,A
1-100210-A-36.wav,1,36,vacuum_cleaner,False,100210,A
1-100210-B-36.wav,1,36,vacuum_cleaner,False,100210,B
1-101296-A-19.wav,1,19,thunderstorm,False,101296,A
1-101296-B-19.wav,1,19,thunderstorm,False,101296,B
1-101336-A-30.wav,1,30,door_wood_knock,False,101336,A
1-101404-A-34.wav,1,34,can_opening,False,101404,A
1-103298-A-9.wav,1,9,crow,False,103298,A
1-103995-A-30.wav,1,30,door_wood_knock,False,103995,A
1-103999-A-30.wav,1,30,door_wood_knock,False,103999,A
1-104089-A-22.wav,1,22,clapping,False,104089,A
1-104089-B-22.wav,1,22,clapping,False,104089,B
1-105224-A-22.wav,1,22,clapping,False,105224,A
1-110389-A-0.wav,1,0,dog,True,110389,A
1-110537-A-22.wav,1,22,clapping,False,110537,A
1-115521-A-19.wav,1,19,thunderstorm,False,115521,A
1-115545-A-48.wav,1,48,fireworks,False,115545,A
1-115545-B-48.wav,1,48,fireworks,False,115545,B
1-115545-C-48.wav,1,48,fireworks,False,115545,C
1-115546-A-48.wav,1,48,fireworks,False,115546,A
1-115920-A-22.wav,1,22,clapping,False,115920,A
1-115920-B-22.wav,1,22,clapping,False,115920,B
1-115921-A-22.wav,1,22,clapping,False,115921,A
1-116765-A-41.wav,1,41,chainsaw,True,116765,A
1-11687-A-47.wav,1,47,airplane,False,11687,A
1-118206-A-31.wav,1,31,mouse_click,False,118206,A
1-118559-A-17.wav,1,17,pouring_water,False,118559,A
1-119125-A-45.wav,1,45,train,False,119125,A
1-121951-A-8.wav,1,8,sheep,False,121951,A
1-12653-A-15.wav,1,15,water_drops,False,12653,A
1-12654-A-15.wav,1,15,water_drops,False,12654,A
1-12654-B-15.wav,1,15,water_drops,False,12654,B
1-13571-A-46.wav,1,46,church_bells,False,13571,A
1-13572-A-46.wav,1,46,church_bells,False,13572,A
1-13613-A-37.wav,1,37,clock_alarm,False,13613,A
1-137-A-32.wav,1,32,keyboard_typing,False,137,A
1-137296-A-16.wav,1,16,wind,False,137296,A
1-14262-A-37.wav,1,37,clock_alarm,False,14262,A
1-155858-A-25.wav,1,25,footsteps,False,155858,A
1-155858-B-25.wav,1,25,footsteps,False,155858,B
1-155858-C-25.wav,1,25,footsteps,False,155858,C
1-155858-D-25.wav,1,25,footsteps,False,155858,D
1-155858-E-25.wav,1,25,footsteps,False,155858,E
1-155858-F-25.wav,1,25,footsteps,False,155858,F
1-15689-A-4.wav,1,4,frog,False,15689,A
1-15689-B-4.wav,1,4,frog,False,15689,B
1-160563-A-48.wav,1,48,fireworks,False,160563,A
1-160563-B-48.wav,1,48,fireworks,False,160563,B
1-16568-A-3.wav,1,3,cow,False,16568,A
1-16746-A-15.wav,1,15,water_drops,False,16746,A
1-17092-A-27.wav,1,27,brushing_teeth,False,17092,A
1-17092-B-27.wav,1,27,brushing_teeth,False,17092,B
1-17124-A-43.wav,1,43,car_horn,False,17124,A
1-17150-A-12.wav,1,12,crackling_fire,True,17150,A
1-172649-A-40.wav,1,40,helicopter,True,172649,A
1-172649-B-40.wav,1,40,helicopter,True,172649,B
1-172649-C-40.wav,1,40,helicopter,True,172649,C
1-172649-D-40.wav,1,40,helicopter,True,172649,D
1-172649-E-40.wav,1,40,helicopter,True,172649,E
1-172649-F-40.wav,1,40,helicopter,True,172649,F
1-17295-A-29.wav,1,29,drinking_sipping,False,17295,A
1-17367-A-10.wav,1,10,rain,True,17367,A
1-17565-A-12.wav,1,12,crackling_fire,True,17565,A
1-17585-A-7.wav,1,7,insects,False,17585,A
1-17742-A-12.wav,1,12,crackling_fire,True,17742,A
1-17808-A-12.wav,1,12,crackling_fire,True,17808,A
1-17808-B-12.wav,1,12,crackling_fire,True,17808,B
1-1791-A-26.wav,1,26,laughing,False,1791,A
1-17970-A-4.wav,1,4,frog,False,17970,A
1-18074-A-6.wav,1,6,hen,False,18074,A
1-18074-B-6.wav,1,6,hen,False,18074,B
1-181071-A-40.wav,1,40,helicopter,True,181071,A
1-181071-B-40.wav,1,40,helicopter,True,181071,B
1-18527-A-44.wav,1,44,engine,False,18527,A
